,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
175,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.54732689966847,30.129241003387747,30.711155107107025
176,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.49598527058929,30.056080864152854,30.61617645771642
177,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,30.005287552520734,31.86945541312535,33.73362327372997
178,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.409214325139597,29.938455250754046,30.4676961763685
179,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.614308008209203,30.224354599798783,30.834401191388363
180,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.585849794850024,30.183087544492572,30.780325294135118
181,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,46.05936852189637,46.082698593184894,46.10602866447342
182,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.9060527685893,31.275791373563386,32.64552997853747
183,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.356704891948475,29.869419595893092,30.382134299837706
184,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.23029999446555,44.75999891445955,45.289697834453555
185,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.02430320906788,45.03930320906788,45.05430320906788
186,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.566883676380698,30.15814768126608,30.74941168615146
187,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.230522247809507,29.706625197761078,30.182728147712645
188,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.71526156720602,44.75026369363624,44.78526582006646
189,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.664264163169868,30.300136142994916,30.936008122819967
190,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.319101776716202,29.82027862214851,30.32145546758082
191,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,47.250156040375195,47.61654978981579,47.9829435392564
192,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.565778609162184,30.15537808202443,30.744977554886677
193,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.647868202076946,30.274226556571413,30.900584911065884
194,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.424446774628745,29.959796932014047,30.49514708939935
195,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,48.82007257974676,51.948650230975346,55.077227882203935
196,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.19425909300782,29.660949783554003,30.12764047410019
197,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.41854659897026,29.95120424843921,30.483861897908163
198,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.448762080041647,29.992220864420577,30.53567964879951
199,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.50858377071177,30.074091097312433,30.6395984239131
200,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,44.97178393420282,44.98678393420282,45.00178393420282
201,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,45.3130105123067,45.34763403503949,45.38225755777228
202,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,52.891964845931625,73.07919142719805,93.26641800846448
203,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,55.110730649377274,65.4035263575185,75.69632206565973
204,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,29.4235221830924,29.957687114976025,30.49185204685965
205,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,44.17642811716331,44.19142811716331,44.20642811716331
206,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,53.32266092362813,80.07591536115413,106.82916979868014
207,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,57.71745629435276,95.4122052123817,133.10695413041066
208,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,54.646465301198084,72.70679775542364,90.7671302096492
209,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,44.89256499373715,44.978201452562445,45.06383791138773
210,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,51.98155610186841,55.063666202038156,58.145776302207906
211,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,44.8650695997246,44.961384009433026,45.05769841914145
212,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,36.21615093441946,45.6554114318813,55.094671929343136
213,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,26.893319354530625,28.604117008287872,30.31491466204512
214,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,45.84804787406712,54.13881682256186,62.429585771056594
215,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,38.93757579682505,64.21013738574098,89.4826989746569
216,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,45.13530681591784,45.56053674164123,45.98576666736462
217,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,29.603844868032564,30.209570500501094,30.815296132969628
218,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,50.68710724399639,53.86959950861094,57.05209177322549
219,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,44.76505313621568,44.852116037497794,44.939178938779904
